,订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现,大类,二级类
12,DD201708167493020259455996247,E43A6E078A04134,9.0,9.0,68g好丽友巧克力派2枚,2017-04-17 10:21:00,B,已出货未退款,已提现,非饮料,饼干糕点
13,DD2017081674930318307402396486,E43A6E078A04134,4.5,4.5,68g好丽友巧克力派2枚,2017-04-20 23:11:00,B,已出货未退款,已提现,非饮料,饼干糕点
24,DD201708167493122702085385253,E43A6E078A04134,4.5,4.5,68g好丽友巧克力派2枚,2017-05-20 11:57:00,B,已出货未退款,已提现,非饮料,饼干糕点
26,DD201708167493142208525870814,E43A6E078A04134,4.5,4.5,68g好丽友巧克力派2枚,2017-05-23 21:39:00,B,已出货未退款,已提现,非饮料,饼干糕点
29,DD201708167493170708641339583,E43A6E078A04134,4.5,4.5,68g好丽友巧克力派2枚,2017-05-28 17:34:00,B,已出货未退款,已提现,非饮料,饼干糕点
30,DD201708167493377797120168811,E43A6E078A04134,4.5,4.5,68g好丽友巧克力派2枚,2017-05-28 19:52:00,B,已出货未退款,已提现,非饮料,饼干糕点
33,DD201708167493191230745867648,E43A6E078A04134,4.5,4.5,68g好丽友巧克力派2枚,2017-06-01 04:21:00,B,已出货未退款,已提现,非饮料,饼干糕点
34,DD2017081674932006537457394,E43A6E078A04134,9.0,9.0,68g好丽友巧克力派2枚,2017-06-02 05:27:00,B,已出货未退款,已提现,非饮料,饼干糕点
39,DD201708167493657047550794238,E43A6E078A04134,4.5,4.5,68g好丽友巧克力派2枚,2017-06-05 12:14:00,B,已出货未退款,已提现,非饮料,饼干糕点
41,DD201708167493503277499046221,E43A6E078A04134,4.5,4.5,68g好丽友巧克力派2枚,2017-06-08 09:03:00,B,已出货未退款,已提现,非饮料,饼干糕点
62,DD2017081674933523792816451,E43A6E078A04134,4.5,4.5,68g好丽友巧克力派2枚,2017-06-25 17:10:00,B,已出货未退款,已提现,非饮料,饼干糕点
