,订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现,大类,二级类
19,DD201708167493091719979004996,E43A6E078A04172,4.0,4.0,68g好丽友巧克力派2枚,2017-05-10 20:15:00,A,已出货未退款,已提现,非饮料,饼干糕点
23,DD201708167493759152443537589,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-05-16 19:08:00,A,已出货未退款,已提现,非饮料,饼干糕点
45,DD20170816749329468754945629,E43A6E078A04172,4.0,4.0,68g好丽友巧克力派2枚,2017-06-16 14:24:00,A,已出货未退款,已提现,非饮料,饼干糕点
48,DD201708167493327069170546001,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-06-21 13:38:00,A,已出货未退款,已提现,非饮料,饼干糕点
58,DD201708167493329868074871668,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-06-21 22:24:00,A,已出货未退款,已提现,非饮料,饼干糕点
65,DD20170816749337806157207228,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-06-29 22:11:00,A,已出货未退款,已提现,非饮料,饼干糕点
70,DD201708167493148157663793065,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-07-24 11:51:00,A,已出货未退款,已提现,非饮料,饼干糕点
71,DD201708167493617478775688865,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-07-25 20:36:00,A,已出货未退款,已提现,非饮料,饼干糕点
82,DD201708167493256837236716375,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-09-02 12:24:00,A,已出货未退款,已提现,非饮料,饼干糕点
88,DD201708167493919020953228535,E43A6E078A04172,4.0,4.0,68g好丽友巧克力派2枚,2017-09-08 08:25:00,A,已出货未退款,已提现,非饮料,饼干糕点
89,DD20170816749311868505194046,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-09-08 20:57:00,A,已出货未退款,已提现,非饮料,饼干糕点
91,DD201708167493233301710063819,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-09-09 17:18:00,A,已出货未退款,已提现,非饮料,饼干糕点
96,DD201708167493671375883224865,E43A6E078A04172,4.0,4.0,68g好丽友巧克力派2枚,2017-09-14 15:25:00,A,已出货未退款,已提现,非饮料,饼干糕点
99,DD2017081674930976220809793313,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-09-16 10:01:00,A,已出货未退款,已提现,非饮料,饼干糕点
105,DD201708167493395040300686032,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-10-02 15:38:00,A,已出货未退款,已提现,非饮料,饼干糕点
120,DD201708167493529143871136676,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-10-18 08:28:00,A,已出货未退款,已提现,非饮料,饼干糕点
124,DD201708167493554389671633138,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-10-20 14:15:00,A,已出货未退款,已提现,非饮料,饼干糕点
125,DD20170816749388420742608414,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-10-21 20:46:00,A,已出货未退款,已提现,非饮料,饼干糕点
130,DD201708167493623364667028391,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-10-27 12:39:00,A,已出货未退款,已提现,非饮料,饼干糕点
136,DD201708167493659790620045698,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-10-29 15:34:00,A,已出货未退款,已提现,非饮料,饼干糕点
137,DD201708167493685164206508145,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-10-30 17:34:00,A,已出货未退款,已提现,非饮料,饼干糕点
140,DD201708167493638994290880567,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-11-05 12:16:00,A,已出货未退款,已提现,非饮料,饼干糕点
144,DD20170816749365263466000666,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-11-06 17:39:00,A,已出货未退款,已提现,非饮料,饼干糕点
145,DD201708167493806885375544738,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-11-07 09:59:00,A,已出货未退款,已提现,非饮料,饼干糕点
148,DD201708167493774730705147452,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-11-11 16:25:00,A,已出货未退款,已提现,非饮料,饼干糕点
156,DD201708167493824890715680917,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-11-20 16:43:00,A,已出货未退款,已提现,非饮料,饼干糕点
164,DD201708167493916564368083375,E43A6E078A04172,4.5,4.5,68g好丽友巧克力派2枚,2017-12-11 15:04:00,A,已出货未退款,已提现,非饮料,饼干糕点
175,DD201708167493663555814061164,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017-01-01 01:33:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
180,DD201708167493867099990764535,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017-01-09 15:38:00,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
