,订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现,大类,二级类
3,DD201708167493529849068514902,E43A6E078A04228,4.0,4.0,68g好丽友巧克力派2枚,2017-01-08 20:22:00,C,已出货未退款,已提现,非饮料,饼干糕点
4,DD201708167493876353091909391,E43A6E078A04228,14.0,14.0,68g好丽友巧克力派2枚,2017-01-09 21:38:00,C,已出货未退款,已提现,非饮料,饼干糕点
14,DD2017081674930597840516514743,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-04-30 23:21:00,C,已出货未退款,已提现,非饮料,饼干糕点
16,DD201708167493811342530830268,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-05-02 18:17:00,C,已出货未退款,已提现,非饮料,饼干糕点
20,DD2017081674930935078924268584,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-05-11 12:50:00,C,已出货未退款,已提现,非饮料,饼干糕点
22,DD201708167493102216593143616,E43A6E078A04228,3.5,3.5,68g好丽友巧克力派2枚,2017-05-14 08:44:00,C,已出货未退款,已提现,非饮料,饼干糕点
27,DD20170816749314731914624413,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-05-24 19:27:00,C,已出货未退款,已提现,非饮料,饼干糕点
28,DD201708167493163316739804168,E43A6E078A04228,7.0,7.0,68g好丽友巧克力派2枚,2017-05-27 09:47:00,C,已出货未退款,已提现,非饮料,饼干糕点
31,DD201708167493177597019258465,E43A6E078A04228,7.0,7.0,68g好丽友巧克力派2枚,2017-05-29 17:36:00,C,已出货未退款,已提现,非饮料,饼干糕点
32,DD201708167493180578994297218,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-05-29 23:17:00,C,已出货未退款,已提现,非饮料,饼干糕点
36,DD201708167493206714487632856,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-06-02 23:43:00,C,已出货未退款,已提现,非饮料,饼干糕点
42,DD201708167493252940487640114,E43A6E078A04228,3.5,3.5,68g好丽友巧克力派2枚,2017-06-10 12:45:00,C,已出货未退款,已提现,非饮料,饼干糕点
43,DD201708167493267451611056055,E43A6E078A04228,7.0,7.0,68g好丽友巧克力派2枚,2017-06-12 03:59:00,C,已出货未退款,已提现,非饮料,饼干糕点
47,DD201708167493639271761141351,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-06-20 14:51:00,C,已出货未退款,已提现,非饮料,饼干糕点
64,DD201708167493368101880965478,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-06-28 15:15:00,C,已出货未退款,已提现,非饮料,饼干糕点
66,DD201708167493382115609510327,E43A6E078A04228,4.5,4.5,68g好丽友巧克力派2枚,2017-06-30 14:24:00,C,已出货未退款,已提现,非饮料,饼干糕点
