,序号,饮料类商品,标签,销售情况
0,1,100g*5瓶益力多,正常,中档
1,2,13g雀巢咖啡1+2特浓,滞销,低档
2,3,145ml旺仔牛奶盒装,热销,高档
3,4,145ml旺仔牛奶罐装,滞销,低档
4,5,150g健能酸奶原味,正常,中档
5,6,180ml雀巢咖啡罐装,正常,中档
6,7,205g伊利安慕希原味,正常,中档
7,8,205ml安慕希蓝莓味,正常,中档
8,9,250ML东鹏特饮,正常,中档
9,10,250ml燕塘原味酸奶,热销,高档
10,11,250ml燕塘甜牛奶,热销,高档
11,12,250ml燕塘红枣牛奶,热销,高档
12,13,250ml王老吉盒装,正常,中档
13,14,250ml红牛,热销,高档
14,15,250ml统一麦香奶茶,正常,中档
15,16,250ml维他原味豆奶,热销,高档
16,17,250ml维他奶低糖原味,正常,中档
17,18,250ml维他奶巧克力味,正常,中档
18,19,250ml维他奶黑豆奶饮品,正常,中档
19,20,250ml维他柠檬茶,热销,高档
20,21,250ml维他椰子植物蛋白饮料,正常,中档
21,22,250ml维他椰子植物蛋白饮料9374,滞销,低档
22,23,250ml香满楼纯牛奶,滞销,低档
23,24,268ml雀巢咖啡丝滑拿铁,热销,高档
24,25,330ml伊利畅意乳酸菌原味,热销,高档
25,26,450ml美汁源果粒橙,热销,高档
26,27,480ml小茗同学冷泡溜溜哒茶,正常,中档
27,28,480ml小茗同学冷泡青柠红茶,正常,中档
28,29,500ML宝矿力,滞销,低档
29,30,500ml农夫果园 (芒果+菠萝+番石榴),正常,中档
30,31,500ml加多宝,正常,中档
31,32,500ml康师傅冰糖雪梨,滞销,低档
32,33,500ml恒大冰泉矿泉水,滞销,低档
33,34,500ml统一冰糖雪梨,滞销,低档
34,35,500ml统一阿萨姆奶茶,正常,中档
35,36,500ml营养快线原味,正常,中档
36,37,600ml可口可乐,正常,中档
37,38,600ml脉动青柠,正常,中档
38,39,600ml雪碧,正常,中档
39,40,80g香飘飘椰果奶茶原味,正常,中档
40,41,80g香飘飘椰果奶茶麦香味,正常,中档
41,42,东鹏特饮,热销,高档
42,43,乐虎,正常,中档
43,44,乐虎（380ml）,滞销,低档
44,45,伊利优酸乳,热销,高档
45,46,伊利纯牛奶,热销,高档
46,47,优益C活菌型乳酸菌饮品,正常,中档
47,48,健能酸奶,滞销,低档
48,49,农夫果园,正常,中档
49,50,冰糖雪梨,正常,中档
50,51,冰红茶（罐）,滞销,低档
51,52,加多宝,正常,中档
52,53,可乐可乐,正常,中档
53,54,可口可乐330ml,正常,中档
54,55,可口可乐330ml（罐）,滞销,低档
55,56,可口可乐最新款,正常,中档
56,57,可口可乐（500ml）,热销,高档
57,58,商品1,滞销,低档
58,59,商品2,滞销,低档
59,60,天地一号,滞销,低档
60,61,娃哈哈红枣酸奶,滞销,低档
61,62,安慕希酸奶,滞销,低档
62,63,小茗同学,正常,中档
63,64,小茗同学冷泡茶（乳酸菌味）,滞销,低档
64,65,尖叫,正常,中档
65,66,康师傅矿泉水,正常,中档
66,67,怡宝,正常,中档
67,68,怡宝矿泉水,正常,中档
68,69,怡宝纯净水,热销,高档
69,70,拿铁咖啡（统一）,滞销,低档
70,71,旺仔牛奶,正常,中档
71,72,旺仔牛奶145ml,滞销,低档
72,73,果粒橙,热销,高档
73,74,椰树牌椰汁,正常,中档
74,75,燕塘原味酸奶,正常,中档
75,76,燕塘甜牛奶,正常,中档
76,77,燕塘红枣牛奶,正常,中档
77,78,王老吉（500ml）,热销,高档
78,79,王老吉（罐）,热销,高档
79,80,珠江纯生啤酒,滞销,低档
80,81,百事可乐330ml,正常,中档
81,82,百事可乐500ml,正常,中档
82,83,益力多100g*5瓶,正常,中档
83,84,红牛,热销,高档
84,85,经典奶茶,滞销,低档
85,86,统一冰红茶,热销,高档
86,87,统一绿茶,热销,高档
87,88,统一阿萨姆奶茶,正常,中档
88,89,维他原味豆奶,正常,中档
89,90,维他奶,正常,中档
90,91,维他奶黑豆奶饮品,正常,中档
91,92,维他奶（巧克力味）,滞销,低档
92,93,维他柠檬茶,正常,中档
93,94,维他柠檬茶330ml（罐）,滞销,低档
94,95,美年达（罐）,正常,中档
95,96,美汁源果粒橙,正常,中档
96,97,脉动,热销,高档
97,98,脉动（椰子菠萝口味）,滞销,低档
98,99,脉动（青柠）,正常,中档
99,100,芦荟汁,滞销,低档
100,101,芬达330ml,正常,中档
101,102,茉莉蜜茶,正常,中档
102,103,营养快线,热销,高档
103,104,银鹭八宝粥,热销,高档
104,105,阿萨姆奶茶,热销,高档
105,106,阿萨姆煎茶奶绿,正常,中档
106,107,雀巢咖啡,正常,中档
107,108,雪力矿泉水,正常,中档
108,109,雪碧,正常,中档
109,110,雪碧330ml,正常,中档
110,111,雪碧最新款,正常,中档
111,112,雪碧（500ml）,热销,高档
